C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_105.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_105.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_105.jpg,0,0,0,22.87071
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_177.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_177.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_177.jpg,0,0,0,22.42154
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_247.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_247.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_247.jpg,0,0,0,20.9797
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_313.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_313.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_313.jpg,0,0,0,21.15571
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_379.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_379.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_379.jpg,0,0,0,20.69485
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_447.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_447.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_447.jpg,0,0,0,19.8506
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_523.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_523.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_523.jpg,0,0,0,19.30917
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_598.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_598.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_598.jpg,0,0.1988559,0,18.45736
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_669.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_669.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_669.jpg,0,0.4420659,0,18.2878
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_736.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_736.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_736.jpg,0,0.6164526,0,17.98814
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_813.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_813.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_813.jpg,0,0.8707542,0,17.73581
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_885.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_885.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_885.jpg,0,1,0,18.38305
C:\Users\asim\Desktop\micron\IMG\center_2021_01_16_15_09_52_952.jpg,C:\Users\asim\Desktop\micron\IMG\left_2021_01_16_15_09_52_952.jpg,C:\Users\asim\Desktop\micron\IMG\right_2021_01_16_15_09_52_952.jpg,0,1,0,18.72386
